pub_date	year	authors	citation	category	title	venue	excerpt	url_slug	paper_url	slides_url
2013-01-01	2013	Yutaro Shigeto, Ai  Azuma, Sorami Hisamoto, Shuhei Kondo, Tomoya Kose, Keisuke Sakaguchi, Akifumi Yoshimoto, Frances Yung, Yuji Matsumoto	Yutaro Shigeto, Ai  Azuma, Sorami Hisamoto, Shuhei Kondo, Tomoya Kose, Keisuke Sakaguchi, Akifumi Yoshimoto, Frances Yung, Yuji Matsumoto (Workshop on Multiword Expressions @ NAACL 2013)	conferences	Construction of English MWE dictionary and its application to POS tagging	Workshop on Multiword Expressions @ NAACL	This paper reports our ongoing project for constructing an English multiword expression (MWE) dictionary and NLP tools based on the developed dictionary. We extracted functional MWEs from the English part of Wiktionary, annotated the Penn Treebank (PTB) with MWE information, and conducted POS tagging experiments. We report how the MWEannotation is done on PTB and the results of POS and MWE tagging experiments.	Construction-of-english-mwe	https://aclanthology.org/W13-1021.pdf	
2014-01-01	2014	Frances Yung	Frances Yung (Student Research Workshop @ ACL 2014)	conferences	Towards a discourse relation-aware approach for Chinese-English machine translation	Student Research Workshop @ ACL	Translation of discourse relations is one of the recent efforts of incorporating discourse information to statistical machine translation (SMT). While existing works focus on disambiguation of ambiguous discourse connectives, or transformation of discourse trees, only explicit discourse relations are tackled. A greater challenge exists in machine translation of Chinese, since implicit discourse relations are abundant and occur both inside and outside a sentence. This thesis proposal describes ongoing workonbilingual discourse annotation and plans towards incorporating discourse relation knowledge to a ChineseEnglish SMTsystemwithconsideration of implicit discourse relations. The final goal is a discourse-unit-based translation model unbounded by the traditional assumption of sentence-to-sentence translation.	Towards-a-discourse-relation-aware	https://aclanthology.org/P14-3003.pdf	
2014-01-01	2014	Frances Yung, Kevin Duh, Yuji Matsumoto	Frances Yung, Kevin Duh, Yuji Matsumoto (EACL 2014)	conferences	Analysis and Prediction of Unalignable Words in Parallel Text	EACL	Professional human translators usually do not employ the concept of word alignments, producing translations ‘sense-forsense’ instead of ‘word-for-word’. This suggests that unalignable words may be prevalent in the parallel text used for machine translation (MT). We analyze this phenomenonin-depth for Chinese-English translation. We further propose a simple and effective method to improve automatic word alignment by pre-removing unalignable words, and show improvements on hierarchical MT systems in both translation directions.	Analysis-and-prediction-of-unalignable	https://aclanthology.org/E14-4037.pdf	
2015-01-01	2015	Enrico Santus, Frances Yung, Alessandro Lenci, Chu-Ren Huang	Enrico Santus, Frances Yung, Alessandro Lenci, Chu-Ren Huang (Workshop on Linked Data in Linguistics @ ACL 2015)	conferences	Evalution 1.0: an evolving semantic dataset for training and evaluation of distributional semantic models	Workshop on Linked Data in Linguistics @ ACL	In this paper, we introduce EVALution 1.0, a dataset designed for the training and the evaluation of Distributional Semantic Models (DSMs). This version consists of almost 7.5K tuples, instantiating several semantic relations between word pairs (including hypernymy, synonymy, antonymy, meronymy). The dataset is enriched with a large amount of additional information (i.e. relation domain, word frequency, word POS, word semantic field, etc.) that can be used for either filtering the pairs or performing an in-depth analysis of the results. The tuples were extracted from a combination of ConceptNet 5.0 and WordNet 4.0, and subsequently filtered through automatic methods and crowdsourcing in order to ensure their quality. The dataset is freely downloadable1. An extension in RDFformat, including also scripts for data processing, is under development.	evaluation-1.0	https://aclanthology.org/W15-4208.pdf	
2015-01-01	2015	Frances Yung, Kevin Duh, Yuji Matsumoto	Frances Yung, Kevin Duh, Yuji Matsumoto (SIGHAN Workshop on Chinese Language Processing @ ACL 2015)	conferences	Sequential annotation and chunking of Chinese discourse structure	SIGHAN Workshop on Chinese Language Processing @ ACL	We propose a linguistically driven approach to represent discourse relations in Chinese text as sequences. We observe that certain surface characteristics of Chinese texts, such as the order of clauses, are overt markers of discourse structures, yet existing annotation proposals adapted from formalism constructed for English do not fully incorporate these characteristics. We present an annotated resource consisting of 325 articles in the Chinese Treebank. In addition, using this annotation, we introduce a discourse chunker based on a cascade of classifiers and report 70% top-level discourse sense accuracy.	Sequential-annotation-and-chunking-of-chinese	https://aclanthology.org/W15-3101.pdf	
2015-01-01	2015	Frances Yung, Kevin Duh, Yuji Matsumoto	Frances Yung, Kevin Duh, Yuji Matsumoto (Workshop on Discourse in Machine Translation @ EMNLP 2015)	conferences	Crosslingual annotation and analysis of implicit discourse connectives for machine translation	Workshop on Discourse in Machine Translation @ EMNLP	Usage of discourse connectives (DCs) differs across languages, thus addition and omission of connectives are common in translation. We investigate how implicit (omitted) DCs in the source text impacts various machine translation (MT) systems, and whether a discourse parser is needed as a preprocessor to explicitate implicit DCs. Based on the manual annotation and alignment of 7266 pairs of discourse relations in a Chinese-English translation corpus, we evaluate whether a preprocessing step that inserts explicit DCs at positions of implicit relations can improve MT. Results show that, without modifying the translation model, explicitating implicit relations in the input source text has limited effect on MT evaluation scores. In addition, translation spotting analysis shows that it is crucial to identify DCs that should be explicitly translated in order to improve implicit-to-explicit DC translation. Onthe other hand, further analysis reveals that the disambiguation as well as explicitation of implicit relations are subject to a certain level of optionality, suggesting the limitation to learn and evaluate this linguistic phenomenon using standard parallel corpora.	Crosslingual-annotation-and-analysis	https://aclanthology.org/W15-2519.pdf	
2016-01-01	2016	Frances Yung, Kevin Duh, Taku Komura, Yuji Matsumoto	Frances Yung, Kevin Duh, Taku Komura, Yuji Matsumoto (ACL 2016)	conferences	Modeling the interpretation of discourse connectives by Bayesian pragmatics	ACL	We propose a framework to model human comprehension of discourse connectives. Following the Bayesian pragmatic paradigm, we advocate that discourse connectives are interpreted based on a simulation of the production process by the speaker, who, in turn, considers the ease of interpretation for the listener when choosing connectives. Evaluation against the sense annotation of the Penn Discourse Treebank confirms the superiority of the model over literal comprehension. A further experiment demonstrates that the proposed model also improves automatic discourse parsing.	Modeling-the-interpretation-of-discourse	https://aclanthology.org/P16-2086.pdf	
2016-01-01	2016	Frances Yung, Kevin Duh, Taku Komura, Yuji Matsumoto	Frances Yung, Kevin Duh, Taku Komura, Yuji Matsumoto (CoNLL @ ACL 2016)	conferences	Modelling the usage of discourse connectives as rational speech acts	CoNLL @ ACL	Discourse relations can either be implicit or explicitly expressed by markers, such as ’therefore’ and ’but’. How a speaker makes this choice is a question that is not well understood. We propose a psycholinguistic model that predicts whether a speaker will produce an explicit marker given the discourse relation s/he wishes to express. Based on the framework of the Rational Speech Acts model, we quantify the utility of producing a marker based on the information-theoretic measure of surprisal, the cost of production, and a bias to maintain uniform information density throughout the utterance. Experiments based on the Penn Discourse Treebank show that our approach outperforms stateof-the-art approaches, while giving an explanatory account of the speaker’s choice.	Modelling-the-usage-of-discourse-connective	https://aclanthology.org/K16-1030.pdf	
2017-01-01	2017	Frances Yung, Kevin Duh, Taku Komura, Yuji Matsumoto	Frances Yung, Kevin Duh, Taku Komura, Yuji Matsumoto (Dialogue and Discourse 2017)	manuscripts	A psycholinguistic model for the marking of discourse relations	Dialogue and Discourse	Discourse relations can either be explicitly marked by discourse connectives (DCs), such as therefore and but, or implicitly conveyed in natural language utterances. How speakers choose between the two options is a question that is not well understood. In this study, we propose a psycholinguistic model that predicts whether or not speakers will produce an explicit marker given the discourse relation they wish to express. Our model is based on two information-theoretic frameworks: (1) the Rational Speech Acts model, which models the pragmatic interaction between language production and interpretation by Bayesian inference, and (2) the Uniform Information Density theory, which advocates that speakers adjust linguistic redundancy to maintain a uniform rate of information transmission. Specifically, our model quantifies the utility of using or omitting a DC based on the expected surprisal of comprehension, cost of production, and availability of other signals in the rest of the utterance. Experiments based on the Penn Discourse Treebank show that our approach outperforms the state-of-the-art performance at predicting the presence of DCs (Patterson and Kehler, 2013), in addition to giving an explanatory account of the speaker's choice.	Psycholinguistic-model-for-the-marking	https://journals.uic.edu/ojs/index.php/dad/article/view/10685/9460	
2017-01-01	2017	Frances Yung, Hiroshi Noji, Yuji Matsumoto	Frances Yung, Hiroshi Noji, Yuji Matsumoto (IJPNLP 2017)	conferences	Can Discourse Relations be Identified Incrementally?	IJPNLP	Humans process language word by word and construct partial linguistic structures on the fly before the end of the sentence is perceived. Inspired by this cognitive ability, incremental algorithms for natural language processing tasks have been proposed and demonstrated promising performance. For discourse relation (DR) parsing, however, it is not yet clear to what extent humans can recognize DRs incrementally, because the latent ‘nodes’ of discourse structure can span clauses and sentences. To answer this question, this work investigates incrementality in discourse processing based on a corpus annotated with DR signals. We find that DRsaredominantly signaled at the boundary between the two constituent discourse units. The findings complement existing psycholinguistic theories on expectation in discourse processing and provide direction for incremental discourse parsing.	Can-discourse-relations-be-identified-incrementally	https://aclanthology.org/I17-2027/	
